,temp,rain,hum,year
2020-01-01,0.89,0.24,96.85,2020
2020-01-02,2.78,0.45,96.23,2020
2020-01-03,6.71,7.24,92.0,2020
2020-01-04,6.42,0.89,91.83,2020
2020-01-05,6.14,0.48,94.12,2020
2020-01-06,5.01,0.52,91.11,2020
2020-01-07,6.13,0.64,96.03,2020
2020-01-08,8.23,1.95,96.88,2020
2020-01-09,9.43,3.77,95.53,2020
2020-01-10,6.75,1.59,88.67,2020
2020-01-11,5.18,0.0,89.85,2020
2020-01-12,6.43,2.35,91.36,2020
2020-01-13,6.32,0.87,94.25,2020
2020-01-14,9.05,10.3,88.81,2020
2020-01-15,8.3,5.08,87.69,2020
2020-01-16,6.34,0.08,93.2,2020
2020-01-17,6.94,1.18,92.89,2020
2020-01-18,5.24,0.58,86.39,2020
2020-01-19,5.08,0.22,88.85,2020
2020-01-20,4.33,0.0,93.88,2020
2020-01-21,3.66,0.09,95.6,2020
2020-01-22,5.12,0.59,97.58,2020
2020-01-23,4.24,0.33,93.43,2020
2020-01-24,2.3,0.27,93.24,2020
2020-01-25,1.72,0.11,92.48,2020
2020-01-26,4.46,0.73,94.96,2020
2020-01-27,6.68,6.28,95.85,2020
2020-01-28,5.31,5.6,87.09,2020
2020-01-29,5.38,0.64,85.36,2020
2020-01-30,7.17,0.69,92.63,2020
2020-01-31,9.07,1.07,92.81,2020
2020-02-01,9.07,1.35,87.88,2020
2020-02-02,7.74,5.42,93.23,2020
2020-02-03,8.09,0.64,89.81,2020
2020-02-04,5.52,3.01,87.8,2020
2020-02-05,5.05,0.01,84.19,2020
2020-02-06,5.66,0.02,86.58,2020
2020-02-07,3.53,0.0,85.82,2020
2020-02-08,5.08,1.67,95.04,2020
2020-02-09,8.27,9.1,87.94,2020
2020-02-10,7.27,8.25,78.29,2020
2020-02-11,5.57,1.05,71.55,2020
2020-02-12,5.07,0.08,75.91,2020
2020-02-13,4.2,9.99,95.81,2020
2020-02-14,6.2,0.14,85.71,2020
2020-02-15,8.63,0.72,87.29,2020
2020-02-16,10.4,14.51,87.32,2020
2020-02-17,7.7,2.43,82.3,2020
2020-02-18,6.98,5.16,82.41,2020
2020-02-19,5.78,1.41,81.92,2020
2020-02-20,7.43,8.0,87.42,2020
2020-02-21,6.98,0.48,80.6,2020
2020-02-22,8.6,1.69,86.84,2020
2020-02-23,7.47,20.55,87.42,2020
2020-02-24,6.71,16.28,89.87,2020
