,temp,rain,hum,year
2020-01-01,22.9,0.05,74.47,2020
2020-01-02,23.45,0.0,73.02,2020
2020-01-03,23.88,0.0,72.03,2020
2020-01-04,24.38,0.0,72.06,2020
2020-01-05,24.15,0.0,74.21,2020
2020-01-06,23.64,0.13,72.34,2020
2020-01-07,22.47,0.04,70.75,2020
2020-01-08,22.33,0.01,69.04,2020
2020-01-09,22.58,0.0,69.05,2020
2020-01-10,21.96,0.0,71.28,2020
2020-01-11,21.19,0.0,65.59,2020
2020-01-12,21.36,0.0,68.71,2020
2020-01-13,21.96,0.0,68.12,2020
2020-01-14,21.46,0.0,63.42,2020
2020-01-15,20.44,0.0,60.38,2020
2020-01-16,20.43,0.0,64.36,2020
2020-01-17,21.52,0.0,66.75,2020
2020-01-18,23.1,0.08,71.85,2020
2020-01-19,23.48,0.01,68.94,2020
2020-01-20,23.02,0.0,61.73,2020
2020-01-21,21.87,0.0,59.43,2020
2020-01-22,21.97,0.0,64.36,2020
2020-01-23,22.6,0.0,62.42,2020
2020-01-24,22.12,0.0,56.4,2020
2020-01-25,21.42,0.0,50.77,2020
2020-01-26,22.09,0.0,54.92,2020
2020-01-27,22.83,0.0,54.76,2020
2020-01-28,23.76,0.0,56.05,2020
2020-01-29,23.81,0.0,56.6,2020
2020-01-30,24.26,0.0,55.7,2020
2020-01-31,24.1,0.0,56.0,2020
2020-02-01,23.78,0.0,60.85,2020
2020-02-02,23.64,0.0,58.44,2020
2020-02-03,23.56,0.0,55.58,2020
2020-02-04,23.61,0.0,57.31,2020
2020-02-05,23.76,0.0,57.31,2020
2020-02-06,24.04,0.0,54.94,2020
2020-02-07,24.51,0.0,56.61,2020
2020-02-08,25.4,0.0,51.98,2020
2020-02-09,24.3,0.0,58.96,2020
2020-02-10,24.52,0.0,55.74,2020
2020-02-11,24.09,0.0,55.04,2020
2020-02-12,23.36,0.0,52.52,2020
2020-02-13,23.71,0.0,50.17,2020
2020-02-14,24.31,0.0,48.29,2020
2020-02-15,24.72,0.0,39.26,2020
2020-02-16,24.08,0.0,37.45,2020
2020-02-17,23.31,0.0,36.45,2020
2020-02-18,23.72,0.0,45.81,2020
2020-02-19,24.3,0.0,52.06,2020
2020-02-20,24.14,0.0,46.66,2020
2020-02-21,23.92,0.0,44.1,2020
2020-02-22,24.36,0.0,52.06,2020
2020-02-23,25.06,0.0,49.12,2020
2020-02-24,25.39,0.0,50.2,2020
2020-02-25,25.86,0.0,49.88,2020
2020-02-26,26.47,0.0,52.76,2020
2020-02-27,25.84,0.0,55.98,2020
2020-02-28,26.17,0.0,52.54,2020
2020-02-29,26.53,0.0,50.11,2020
2020-03-01,26.96,0.08,49.61,2020
2020-03-02,26.22,0.13,52.17,2020
2020-03-03,27.66,0.06,47.46,2020
2020-03-04,27.98,0.11,47.82,2020
2020-03-05,27.55,0.69,50.19,2020
2020-03-06,27.23,0.85,52.74,2020
2020-03-07,25.12,2.27,64.66,2020
2020-03-08,27.45,0.01,56.57,2020
2020-03-09,27.77,0.0,51.25,2020
2020-03-10,27.82,0.0,41.35,2020
2020-03-11,27.55,0.0,45.62,2020
2020-03-12,27.49,0.0,38.87,2020
2020-03-13,26.77,0.0,37.82,2020
2020-03-14,27.04,0.0,46.07,2020
2020-03-15,27.67,0.0,48.5,2020
2020-03-16,27.78,0.0,47.28,2020
2020-03-17,27.15,0.0,44.42,2020
2020-03-18,26.86,0.0,39.12,2020
2020-03-19,27.67,0.0,36.58,2020
2020-03-20,27.68,1.09,41.86,2020
2020-03-21,28.43,0.04,38.96,2020
2020-03-22,29.08,0.0,39.06,2020
2020-03-23,28.9,2.89,40.77,2020
2020-03-24,28.3,0.09,39.59,2020
2020-03-25,27.52,0.0,46.03,2020
2020-03-26,27.58,0.0,44.67,2020
2020-03-27,26.97,0.0,45.85,2020
2020-03-28,26.95,0.0,36.73,2020
2020-03-29,27.1,0.0,32.77,2020
2020-03-30,27.53,0.0,32.87,2020
2020-03-31,27.62,0.0,34.73,2020
2020-04-01,28.3,0.0,37.97,2020
2020-04-02,29.21,0.0,38.23,2020
