,temp,rain,hum,year
2020-01-01,25.75,20.58,85.51,2020
2020-01-02,25.68,2.72,86.26,2020
2020-01-03,26.13,0.1,82.96,2020
2020-01-04,26.09,0.29,85.21,2020
2020-01-05,26.13,2.06,83.38,2020
2020-01-06,25.6,4.21,82.49,2020
2020-01-07,25.32,0.99,82.34,2020
2020-01-08,24.46,0.03,80.08,2020
2020-01-09,24.32,0.0,74.35,2020
2020-01-10,23.83,0.0,77.34,2020
2020-01-11,23.78,0.05,78.26,2020
2020-01-12,24.15,0.05,82.13,2020
2020-01-13,23.81,0.0,73.3,2020
2020-01-14,23.1,0.0,70.97,2020
2020-01-15,23.67,0.0,70.47,2020
2020-01-16,25.0,0.0,66.14,2020
2020-01-17,24.88,0.34,83.08,2020
2020-01-18,25.37,1.06,83.14,2020
2020-01-19,25.21,0.06,80.1,2020
2020-01-20,24.7,0.0,76.94,2020
2020-01-21,24.17,0.0,77.01,2020
2020-01-22,24.66,0.0,79.09,2020
2020-01-23,24.63,0.0,79.13,2020
2020-01-24,23.57,0.0,75.82,2020
2020-01-25,23.34,0.0,70.88,2020
2020-01-26,24.37,0.0,70.31,2020
2020-01-27,24.46,0.0,76.4,2020
2020-01-28,25.06,0.0,79.08,2020
2020-01-29,25.48,0.0,76.05,2020
2020-01-30,25.25,0.0,75.68,2020
2020-01-31,25.39,0.0,76.96,2020
2020-02-01,25.84,0.0,77.11,2020
2020-02-02,25.52,0.0,71.94,2020
2020-02-03,25.34,0.0,71.1,2020
2020-02-04,25.5,0.04,69.87,2020
2020-02-05,25.56,0.0,66.04,2020
2020-02-06,25.37,0.0,68.2,2020
2020-02-07,25.78,0.0,70.69,2020
2020-02-08,26.01,0.0,69.83,2020
2020-02-09,26.15,0.03,72.46,2020
2020-02-10,25.86,0.12,70.39,2020
2020-02-11,25.97,0.03,68.26,2020
2020-02-12,25.7,0.13,70.71,2020
2020-02-13,25.6,0.0,69.51,2020
2020-02-14,25.49,0.0,67.88,2020
2020-02-15,25.55,0.0,60.93,2020
2020-02-16,25.18,0.0,64.98,2020
2020-02-17,25.22,0.0,62.69,2020
2020-02-18,25.46,0.0,66.04,2020
2020-02-19,25.18,0.0,69.17,2020
2020-02-20,25.17,0.0,67.59,2020
2020-02-21,25.48,0.01,70.06,2020
2020-02-22,26.36,0.01,73.22,2020
2020-02-23,26.33,0.0,72.49,2020
2020-02-24,26.75,0.0,70.05,2020
2020-02-25,27.37,0.0,70.24,2020
2020-02-26,27.49,0.01,71.51,2020
2020-02-27,27.35,0.0,70.51,2020
2020-02-28,27.32,0.01,70.13,2020
2020-02-29,27.18,0.04,69.12,2020
2020-03-01,27.42,0.0,66.26,2020
2020-03-02,27.51,0.0,63.46,2020
2020-03-03,28.45,0.0,59.58,2020
2020-03-04,28.42,0.0,62.34,2020
2020-03-05,28.26,0.01,66.28,2020
2020-03-06,27.9,0.08,70.41,2020
2020-03-07,28.04,0.14,68.07,2020
2020-03-08,28.34,0.0,68.1,2020
2020-03-09,28.12,0.0,66.95,2020
2020-03-10,28.28,0.0,64.66,2020
2020-03-11,27.74,0.0,64.95,2020
2020-03-12,27.93,0.0,64.45,2020
2020-03-13,28.15,0.0,66.63,2020
2020-03-14,28.23,0.0,68.95,2020
2020-03-15,28.11,0.0,67.5,2020
2020-03-16,29.03,0.0,63.79,2020
2020-03-17,28.86,0.0,64.28,2020
2020-03-18,29.21,0.0,63.51,2020
2020-03-19,29.64,0.0,64.64,2020
2020-03-20,29.64,0.0,62.09,2020
2020-03-21,30.01,0.0,59.81,2020
2020-03-22,30.02,0.04,59.94,2020
2020-03-23,29.27,0.25,62.34,2020
2020-03-24,29.36,0.07,59.81,2020
2020-03-25,29.47,0.01,60.53,2020
2020-03-26,29.34,0.0,61.36,2020
2020-03-27,29.15,0.0,58.42,2020
2020-03-28,29.25,0.0,53.82,2020
2020-03-29,29.57,0.0,56.71,2020
2020-03-30,29.6,0.0,54.0,2020
2020-03-31,29.99,0.0,55.94,2020
2020-04-01,30.36,0.0,59.8,2020
2020-04-02,30.53,0.0,62.58,2020
2020-04-03,29.97,0.0,64.54,2020
2020-04-04,29.67,0.0,65.16,2020
2020-04-05,30.52,0.0,67.51,2020
2020-04-06,30.77,2.84,67.83,2020
2020-04-07,30.78,0.78,66.24,2020
2020-04-08,31.18,2.5,63.0,2020
2020-04-09,30.42,6.72,65.37,2020
2020-04-10,29.74,3.8,65.41,2020
2020-04-11,29.84,0.09,66.1,2020
2020-04-12,29.96,0.01,62.87,2020
2020-04-13,30.6,0.0,58.84,2020
2020-04-14,30.08,0.0,59.8,2020
2020-04-15,30.11,0.0,61.97,2020
2020-04-16,30.12,0.0,66.61,2020
2020-04-17,30.66,0.0,65.27,2020
2020-04-18,30.95,0.0,64.31,2020
2020-04-19,31.05,0.01,64.96,2020
2020-04-20,30.84,0.0,62.99,2020
2020-04-21,31.0,0.02,61.93,2020
2020-04-22,31.26,0.05,63.05,2020
2020-04-23,31.73,0.29,64.99,2020
2020-04-24,31.91,0.01,64.01,2020
2020-04-25,31.27,5.65,70.83,2020
2020-04-26,30.06,7.74,76.47,2020
2020-04-27,29.6,7.18,77.23,2020
2020-04-28,30.16,6.23,70.72,2020
2020-04-29,30.68,2.56,69.39,2020
2020-04-30,30.45,0.19,71.62,2020
2020-05-01,30.7,0.05,70.64,2020
2020-05-02,31.19,0.05,67.76,2020
2020-05-03,31.15,0.01,67.58,2020
2020-05-04,31.33,0.01,68.91,2020
2020-05-05,31.66,0.0,65.98,2020
2020-05-06,31.22,0.02,69.01,2020
2020-05-07,31.83,0.05,66.69,2020
2020-05-08,32.15,0.07,64.6,2020
2020-05-09,32.08,0.02,64.34,2020
2020-05-10,32.15,0.02,61.53,2020
2020-05-11,30.96,11.09,67.62,2020
2020-05-12,28.89,51.91,76.57,2020
2020-05-13,29.94,12.13,63.65,2020
2020-05-14,30.44,1.45,70.61,2020
2020-05-15,30.21,5.46,73.73,2020
2020-05-16,29.74,1.24,76.57,2020
2020-05-17,29.73,0.25,72.43,2020
2020-05-18,30.92,2.65,70.0,2020
2020-05-19,32.91,1.64,58.51,2020
2020-05-20,33.12,0.05,57.39,2020
2020-05-21,32.81,0.67,57.19,2020
2020-05-22,32.61,0.01,60.58,2020
2020-05-23,31.38,0.02,72.38,2020
2020-05-24,30.78,0.02,77.43,2020
2020-05-25,30.44,0.03,79.62,2020
2020-05-26,30.68,0.02,77.66,2020
2020-05-27,31.49,0.04,74.36,2020
2020-05-28,32.01,0.85,71.82,2020
2020-05-29,31.45,1.06,68.65,2020
2020-05-30,30.99,0.09,70.24,2020
2020-05-31,29.82,0.06,75.78,2020
2020-06-01,30.49,0.1,73.6,2020
2020-06-02,29.94,0.06,71.93,2020
2020-06-03,30.17,0.04,67.69,2020
2020-06-04,31.08,0.07,64.61,2020
2020-06-05,31.11,0.33,66.28,2020
2020-06-06,30.13,0.81,69.26,2020
2020-06-07,30.39,1.0,64.61,2020
2020-06-08,31.52,0.1,60.29,2020
2020-06-09,31.42,0.24,60.94,2020
2020-06-10,30.18,2.43,64.41,2020
2020-06-11,29.19,1.6,70.03,2020
2020-06-12,30.64,0.94,62.17,2020
2020-06-13,32.14,0.01,53.88,2020
2020-06-14,32.02,0.09,52.15,2020
2020-06-15,31.67,0.35,60.31,2020
2020-06-16,31.37,0.2,65.16,2020
2020-06-17,32.06,0.06,61.49,2020
2020-06-18,32.52,0.04,55.0,2020
2020-06-19,31.96,0.35,56.23,2020
2020-06-20,31.41,1.1,60.58,2020
2020-06-21,30.91,3.29,60.15,2020
2020-06-22,31.44,7.07,62.95,2020
2020-06-23,30.45,5.63,65.13,2020
2020-06-24,30.04,8.69,70.27,2020
2020-06-25,29.47,6.33,72.29,2020
2020-06-26,30.1,0.69,69.36,2020
2020-06-27,30.51,1.78,70.89,2020
2020-06-28,29.62,5.45,76.44,2020
2020-06-29,28.64,20.2,78.67,2020
2020-06-30,29.56,2.35,74.02,2020
2020-07-01,29.17,6.82,76.91,2020
2020-07-02,29.11,3.38,70.5,2020
2020-07-03,29.42,4.59,70.39,2020
2020-07-04,29.73,2.5,69.54,2020
2020-07-05,29.33,0.7,68.95,2020
2020-07-06,29.76,4.02,69.75,2020
2020-07-07,30.27,2.5,69.16,2020
2020-07-08,28.52,4.36,75.57,2020
2020-07-09,27.39,49.7,82.78,2020
2020-07-10,28.71,8.07,76.77,2020
2020-07-11,27.55,4.61,80.31,2020
2020-07-12,29.11,9.32,77.3,2020
2020-07-13,28.33,16.44,82.48,2020
2020-07-14,27.61,5.15,84.58,2020
2020-07-15,27.66,7.72,83.35,2020
2020-07-16,27.47,3.57,82.52,2020
2020-07-17,28.43,1.96,77.87,2020
2020-07-18,27.96,3.91,78.9,2020
2020-07-19,28.24,6.94,81.27,2020
2020-07-20,28.09,3.38,83.96,2020
2020-07-21,28.22,0.13,81.18,2020
2020-07-22,28.26,0.26,83.05,2020
2020-07-23,27.67,4.91,83.12,2020
2020-07-24,27.87,6.74,84.27,2020
2020-07-25,28.44,6.42,76.84,2020
2020-07-26,28.69,2.11,74.84,2020
2020-07-27,28.77,2.0,74.75,2020
2020-07-28,27.8,3.49,81.32,2020
2020-07-29,28.0,7.93,82.33,2020
2020-07-30,28.22,4.55,80.7,2020
