,temp,rain,hum,year
2020-01-01,7.52,0.0,64.32,2020
2020-01-02,11.67,0.01,88.86,2020
2020-01-03,8.64,0.0,76.65,2020
2020-01-04,7.16,0.0,67.59,2020
2020-01-05,9.55,0.0,66.25,2020
2020-01-06,8.6,0.0,75.59,2020
2020-01-07,7.48,0.0,57.54,2020
2020-01-08,8.97,0.3,58.36,2020
2020-01-09,15.49,0.31,93.02,2020
2020-01-10,17.8,31.92,91.35,2020
2020-01-11,1.92,4.96,72.59,2020
2020-01-12,4.58,0.02,82.85,2020
2020-01-13,9.61,0.11,92.21,2020
2020-01-14,12.81,0.02,88.36,2020
2020-01-15,17.74,1.14,85.15,2020
2020-01-16,9.31,17.82,84.71,2020
2020-01-17,11.3,7.41,92.89,2020
2020-01-18,10.04,0.02,69.36,2020
2020-01-19,5.14,0.09,59.9,2020
2020-01-20,6.11,0.0,62.75,2020
2020-01-21,5.43,2.06,69.82,2020
2020-01-22,4.98,6.84,92.63,2020
2020-01-23,8.08,0.73,80.48,2020
2020-01-24,6.99,0.0,69.08,2020
2020-01-25,9.73,0.02,72.35,2020
2020-01-26,11.49,0.05,87.72,2020
2020-01-27,11.46,0.12,87.56,2020
2020-01-28,10.78,8.12,85.32,2020
2020-01-29,5.63,0.08,78.0,2020
2020-01-30,5.06,0.01,84.0,2020
2020-01-31,6.12,0.0,77.31,2020
2020-02-01,8.07,0.0,58.85,2020
2020-02-02,12.75,0.0,56.79,2020
2020-02-03,14.98,2.79,84.96,2020
2020-02-04,10.46,2.1,82.18,2020
2020-02-05,1.99,4.97,80.74,2020
2020-02-06,0.89,0.03,67.49,2020
2020-02-07,5.51,0.35,70.21,2020
2020-02-08,9.87,0.11,64.12,2020
2020-02-09,16.34,1.87,91.69,2020
2020-02-10,7.06,11.71,79.26,2020
2020-02-11,5.31,8.85,84.37,2020
2020-02-12,6.17,35.04,90.13,2020
2020-02-13,2.84,0.1,74.16,2020
2020-02-14,2.55,0.0,71.46,2020
2020-02-15,8.38,0.0,81.21,2020
2020-02-16,13.69,0.0,81.06,2020
2020-02-17,16.73,0.01,85.27,2020
2020-02-18,11.2,1.7,74.45,2020
2020-02-19,8.51,10.05,81.18,2020
2020-02-20,6.56,5.93,73.18,2020
2020-02-21,3.68,0.0,64.72,2020
2020-02-22,7.51,0.0,69.51,2020
2020-02-23,11.52,0.16,89.89,2020
2020-02-24,12.33,0.01,76.6,2020
2020-02-25,8.8,0.0,70.21,2020
2020-02-26,4.09,0.07,64.1,2020
2020-02-27,5.59,0.0,59.97,2020
2020-02-28,9.57,0.0,63.91,2020
2020-02-29,13.2,0.0,59.37,2020
2020-03-01,16.44,0.0,81.32,2020
2020-03-02,16.01,0.02,81.7,2020
2020-03-03,14.87,0.18,83.46,2020
2020-03-04,12.62,26.63,84.52,2020
2020-03-05,12.35,0.07,68.95,2020
2020-03-06,10.54,0.06,60.52,2020
2020-03-07,10.04,0.0,67.66,2020
2020-03-08,12.48,0.06,81.47,2020
2020-03-09,17.52,0.93,84.8,2020
2020-03-10,16.82,0.01,81.38,2020
2020-03-11,21.2,0.19,81.31,2020
2020-03-12,22.24,7.15,84.11,2020
2020-03-13,17.83,24.19,93.03,2020
2020-03-14,16.51,2.8,91.33,2020
2020-03-15,12.98,19.68,87.74,2020
2020-03-16,14.6,7.09,91.43,2020
2020-03-17,18.13,28.7,92.81,2020
2020-03-18,20.67,17.5,93.15,2020
2020-03-19,21.29,15.84,89.85,2020
2020-03-20,11.21,1.91,74.49,2020
2020-03-21,9.49,5.08,80.1,2020
2020-03-22,13.91,2.99,89.37,2020
2020-03-23,18.21,0.18,89.48,2020
2020-03-24,20.6,0.02,75.66,2020
2020-03-25,20.21,0.0,75.92,2020
2020-03-26,22.47,0.0,83.22,2020
2020-03-27,22.62,0.13,84.62,2020
2020-03-28,18.75,4.04,66.9,2020
2020-03-29,15.24,0.0,69.09,2020
2020-03-30,14.38,11.15,87.61,2020
2020-03-31,14.99,0.12,74.26,2020
2020-04-01,15.22,0.0,75.18,2020
2020-04-02,17.08,1.84,89.74,2020
2020-04-03,12.13,0.85,87.1,2020
2020-04-04,7.91,2.7,83.46,2020
2020-04-05,12.55,1.03,88.92,2020
2020-04-06,17.95,0.24,89.93,2020
2020-04-07,22.81,0.01,80.72,2020
2020-04-08,24.47,0.0,74.09,2020
2020-04-09,19.28,0.23,75.48,2020
2020-04-10,15.65,0.0,64.92,2020
2020-04-11,17.91,10.85,86.32,2020
2020-04-12,18.93,6.05,77.56,2020
2020-04-13,7.67,0.0,58.06,2020
2020-04-14,7.93,0.02,70.06,2020
2020-04-15,10.04,0.0,66.25,2020
2020-04-16,14.48,0.0,69.42,2020
2020-04-17,12.67,0.06,82.0,2020
2020-04-18,12.75,0.12,80.92,2020
2020-04-19,17.99,1.95,85.87,2020
2020-04-20,17.38,0.33,87.08,2020
2020-04-21,20.86,0.06,80.44,2020
2020-04-22,21.37,0.42,81.56,2020
2020-04-23,19.6,0.0,69.85,2020
2020-04-24,20.99,0.0,68.84,2020
2020-04-25,17.72,0.0,67.16,2020
2020-04-26,19.68,0.0,59.26,2020
2020-04-27,20.53,1.68,68.63,2020
2020-04-28,23.09,8.25,86.31,2020
2020-04-29,19.32,4.9,64.81,2020
2020-04-30,18.97,0.1,62.86,2020
2020-05-01,20.96,0.0,65.5,2020
2020-05-02,23.09,0.07,76.04,2020
2020-05-03,24.59,0.02,79.87,2020
2020-05-04,24.78,3.16,75.46,2020
2020-05-05,19.91,4.59,70.07,2020
2020-05-06,19.31,0.0,62.46,2020
2020-05-07,21.07,1.6,70.52,2020
2020-05-08,19.18,4.93,72.09,2020
2020-05-09,16.38,0.01,68.99,2020
2020-05-10,18.06,0.02,69.61,2020
2020-05-11,19.17,1.66,65.7,2020
2020-05-12,20.8,4.47,85.03,2020
2020-05-13,22.49,2.86,83.94,2020
2020-05-14,24.78,0.67,76.15,2020
2020-05-15,23.65,8.23,83.89,2020
2020-05-16,20.71,59.22,94.67,2020
2020-05-17,21.67,4.18,76.58,2020
2020-05-18,24.02,0.02,74.64,2020
2020-05-19,24.88,0.01,80.19,2020
2020-05-20,23.25,0.43,86.79,2020
2020-05-21,23.9,0.44,85.53,2020
2020-05-22,25.29,18.01,86.27,2020
2020-05-23,24.58,6.07,86.76,2020
2020-05-24,23.64,3.32,90.32,2020
2020-05-25,20.89,25.39,90.68,2020
2020-05-26,19.41,0.2,78.68,2020
2020-05-27,21.75,0.19,69.28,2020
2020-05-28,22.62,0.23,76.44,2020
2020-05-29,22.91,0.0,75.12,2020
2020-05-30,22.39,0.0,71.41,2020
