,temp,rain,hum,year
2020-01-01,6.42,0.11,90.4,2020
2020-01-02,9.37,3.48,93.02,2020
2020-01-03,5.19,0.3,90.79,2020
2020-01-04,6.38,0.32,95.95,2020
2020-01-05,8.35,0.23,94.29,2020
2020-01-06,7.94,4.16,90.77,2020
2020-01-07,9.99,5.07,92.22,2020
2020-01-08,6.0,2.36,88.89,2020
2020-01-09,3.51,11.82,94.76,2020
2020-01-10,5.4,0.64,91.56,2020
2020-01-11,9.25,7.25,93.16,2020
2020-01-12,5.65,3.59,94.08,2020
2020-01-13,6.55,5.84,89.16,2020
2020-01-14,4.9,2.99,92.8,2020
2020-01-15,5.13,0.1,90.26,2020
2020-01-16,8.12,2.59,92.26,2020
2020-01-17,4.61,0.96,92.5,2020
2020-01-18,2.26,0.01,90.43,2020
2020-01-19,3.05,0.02,89.16,2020
2020-01-20,3.78,0.18,96.76,2020
2020-01-21,6.57,0.41,96.26,2020
2020-01-22,7.89,0.14,95.6,2020
2020-01-23,7.04,0.45,97.04,2020
2020-01-24,5.98,0.33,96.67,2020
2020-01-25,6.78,0.36,92.56,2020
2020-01-26,6.5,5.5,89.58,2020
2020-01-27,4.31,3.66,91.07,2020
2020-01-28,3.43,1.21,92.36,2020
2020-01-29,5.47,0.26,94.39,2020
2020-01-30,8.24,0.63,93.32,2020
2020-01-31,10.05,1.94,92.54,2020
2020-02-01,7.31,0.62,90.38,2020
2020-02-02,8.01,5.28,90.91,2020
2020-02-03,5.62,0.59,89.22,2020
2020-02-04,5.05,0.36,90.9,2020
2020-02-05,4.78,0.0,95.32,2020
2020-02-06,6.23,0.09,90.7,2020
2020-02-07,7.09,2.12,91.55,2020
2020-02-08,6.92,12.2,89.93,2020
2020-02-09,9.25,16.27,88.62,2020
2020-02-10,4.34,3.52,86.86,2020
2020-02-11,3.37,2.57,87.23,2020
2020-02-12,4.2,11.81,90.83,2020
2020-02-13,5.32,7.17,92.16,2020
2020-02-14,7.58,1.39,89.85,2020
2020-02-15,8.47,12.17,91.98,2020
2020-02-16,6.15,2.28,83.78,2020
2020-02-17,5.34,0.88,87.27,2020
2020-02-18,4.94,2.09,91.13,2020
2020-02-19,6.28,11.99,93.53,2020
2020-02-20,5.55,9.0,88.49,2020
2020-02-21,7.86,8.13,90.08,2020
2020-02-22,7.26,4.32,87.93,2020
2020-02-23,5.51,8.47,88.48,2020
2020-02-24,6.31,19.03,91.7,2020
2020-02-25,3.49,4.4,92.65,2020
2020-02-26,3.55,1.92,90.04,2020
2020-02-27,4.05,1.17,87.94,2020
2020-02-28,7.76,9.11,93.87,2020
2020-02-29,4.5,9.47,85.75,2020
2020-03-01,4.36,0.99,87.37,2020
2020-03-02,3.78,1.53,89.67,2020
2020-03-03,4.96,0.78,87.16,2020
2020-03-04,4.42,0.61,85.18,2020
2020-03-05,4.17,0.89,86.96,2020
2020-03-06,4.65,1.04,91.0,2020
2020-03-07,8.59,3.15,92.88,2020
2020-03-08,6.96,1.62,89.59,2020
2020-03-09,7.25,10.81,93.48,2020
2020-03-10,8.95,2.23,89.54,2020
2020-03-11,6.28,3.36,89.55,2020
2020-03-12,5.04,0.59,87.3,2020
2020-03-13,6.29,1.3,90.43,2020
2020-03-14,8.02,4.55,93.02,2020
2020-03-15,6.36,0.87,88.99,2020
2020-03-16,6.17,0.94,89.82,2020
2020-03-17,8.88,6.96,93.7,2020
2020-03-18,5.7,1.08,84.96,2020
2020-03-19,5.28,0.11,82.32,2020
2020-03-20,5.43,0.01,80.8,2020
2020-03-21,5.7,0.1,82.93,2020
2020-03-22,5.6,0.02,79.65,2020
2020-03-23,6.58,0.01,90.36,2020
2020-03-24,8.33,0.03,89.57,2020
2020-03-25,9.39,0.36,89.65,2020
2020-03-26,8.23,0.13,93.19,2020
2020-03-27,7.63,0.08,92.17,2020
2020-03-28,7.0,0.04,81.49,2020
2020-03-29,4.25,0.0,74.69,2020
2020-03-30,5.82,0.14,87.56,2020
2020-03-31,6.48,0.32,87.61,2020
2020-04-01,6.39,0.42,87.96,2020
2020-04-02,7.42,1.17,91.05,2020
2020-04-03,7.05,0.98,89.09,2020
2020-04-04,8.14,0.17,89.01,2020
2020-04-05,10.02,1.3,89.14,2020
2020-04-06,8.71,0.2,83.11,2020
2020-04-07,8.19,0.0,82.07,2020
2020-04-08,10.23,0.06,82.52,2020
2020-04-09,9.73,0.0,91.1,2020
2020-04-10,12.05,0.24,87.33,2020
2020-04-11,11.77,0.07,87.24,2020
2020-04-12,8.74,2.31,91.9,2020
2020-04-13,6.5,0.19,75.27,2020
2020-04-14,8.18,0.0,78.14,2020
2020-04-15,7.98,0.0,83.97,2020
2020-04-16,9.35,0.04,89.39,2020
2020-04-17,10.05,0.85,86.55,2020
2020-04-18,8.43,2.4,86.46,2020
2020-04-19,9.35,0.07,86.45,2020
2020-04-20,8.87,0.0,81.5,2020
2020-04-21,9.32,0.0,82.55,2020
2020-04-22,9.44,0.0,87.01,2020
2020-04-23,9.43,0.01,88.83,2020
2020-04-24,10.49,0.02,86.98,2020
2020-04-25,11.41,0.06,83.34,2020
2020-04-26,9.44,5.15,92.23,2020
2020-04-27,8.67,0.1,75.95,2020
2020-04-28,8.51,0.15,82.89,2020
2020-04-29,8.45,8.54,88.03,2020
2020-04-30,7.81,7.44,90.01,2020
2020-05-01,8.21,1.7,85.73,2020
2020-05-02,9.69,0.2,81.6,2020
2020-05-03,10.1,0.04,83.89,2020
2020-05-04,9.87,0.01,82.11,2020
2020-05-05,9.45,0.01,82.04,2020
2020-05-06,10.1,0.02,80.37,2020
2020-05-07,11.91,1.84,87.02,2020
2020-05-08,12.55,0.08,83.1,2020
2020-05-09,12.97,0.04,82.51,2020
2020-05-10,9.01,1.44,79.79,2020
2020-05-11,6.62,0.0,68.46,2020
2020-05-12,8.13,0.13,78.21,2020
2020-05-13,7.33,0.12,73.57,2020
2020-05-14,8.86,0.01,71.28,2020
2020-05-15,9.78,0.07,79.38,2020
2020-05-16,10.3,0.94,80.34,2020
2020-05-17,11.27,2.75,90.11,2020
2020-05-18,12.95,1.69,87.49,2020
2020-05-19,14.68,0.11,84.28,2020
2020-05-20,13.34,0.05,84.62,2020
2020-05-21,12.45,4.83,83.54,2020
2020-05-22,12.27,2.36,74.95,2020
2020-05-23,11.37,0.84,77.59,2020
2020-05-24,13.02,0.24,79.24,2020
2020-05-25,12.33,0.53,82.7,2020
2020-05-26,13.17,0.04,80.42,2020
2020-05-27,13.39,0.02,82.02,2020
2020-05-28,14.66,0.0,84.43,2020
2020-05-29,14.48,0.0,78.21,2020
2020-05-30,14.47,0.0,74.08,2020
2020-05-31,14.49,0.0,77.8,2020
2020-06-01,14.83,0.0,75.05,2020
2020-06-02,16.41,1.12,70.41,2020
2020-06-03,12.23,1.13,80.34,2020
2020-06-04,11.23,0.83,83.41,2020
2020-06-05,9.69,1.41,78.4,2020
2020-06-06,9.91,6.24,88.06,2020
2020-06-07,11.87,0.29,82.97,2020
2020-06-08,11.52,0.02,76.08,2020
2020-06-09,11.89,0.57,81.77,2020
2020-06-10,11.86,12.52,86.74,2020
2020-06-11,12.58,4.19,85.13,2020
2020-06-12,12.6,2.68,91.04,2020
2020-06-13,13.86,2.87,91.82,2020
2020-06-14,14.85,1.69,88.73,2020
2020-06-15,15.8,0.82,82.75,2020
2020-06-16,14.85,3.71,86.23,2020
2020-06-17,14.73,1.92,87.96,2020
2020-06-18,14.2,9.34,93.84,2020
2020-06-19,13.63,4.92,89.73,2020
2020-06-20,13.63,8.76,83.51,2020
2020-06-21,13.87,0.77,79.14,2020
2020-06-22,14.62,3.27,89.39,2020
2020-06-23,15.46,3.23,90.84,2020
2020-06-24,16.16,0.32,85.42,2020
2020-06-25,16.73,6.05,89.05,2020
2020-06-26,16.16,4.07,85.53,2020
2020-06-27,13.8,9.02,86.62,2020
2020-06-28,12.62,2.55,80.66,2020
2020-06-29,12.73,1.74,88.6,2020
