,temp,rain,hum,year
2020-01-01,21.74,0.42,76.54,2020
2020-01-02,22.47,3.42,80.43,2020
2020-01-03,22.84,8.85,80.3,2020
2020-01-04,21.81,0.16,75.49,2020
2020-01-05,19.77,0.0,72.43,2020
2020-01-06,20.28,0.0,73.8,2020
2020-01-07,22.03,0.0,76.72,2020
2020-01-08,22.74,0.0,75.76,2020
2020-01-09,22.5,0.0,75.36,2020
2020-01-10,20.23,0.0,70.81,2020
2020-01-11,19.28,0.0,65.09,2020
2020-01-12,18.64,0.0,55.18,2020
2020-01-13,20.11,0.0,46.28,2020
2020-01-14,20.53,0.0,60.67,2020
2020-01-15,20.73,0.0,67.47,2020
2020-01-16,20.96,0.0,67.56,2020
2020-01-17,21.58,0.0,67.23,2020
2020-01-18,22.72,0.0,72.51,2020
2020-01-19,22.88,0.0,70.28,2020
2020-01-20,22.31,0.0,66.51,2020
2020-01-21,22.22,0.0,66.23,2020
2020-01-22,22.2,0.0,65.88,2020
2020-01-23,22.06,0.0,64.18,2020
2020-01-24,21.76,0.0,60.63,2020
2020-01-25,22.2,0.0,55.03,2020
2020-01-26,23.58,0.0,49.0,2020
2020-01-27,23.03,0.0,46.6,2020
2020-01-28,24.53,0.0,58.2,2020
2020-01-29,25.23,0.0,54.49,2020
2020-01-30,22.92,0.09,55.47,2020
2020-01-31,22.83,0.0,48.79,2020
2020-02-01,24.59,0.0,61.4,2020
2020-02-02,24.25,0.0,64.01,2020
2020-02-03,24.4,0.0,63.62,2020
2020-02-04,24.33,0.0,60.2,2020
2020-02-05,24.89,0.0,56.77,2020
2020-02-06,24.92,0.0,54.76,2020
2020-02-07,25.81,0.0,53.91,2020
2020-02-08,23.87,2.2,67.18,2020
2020-02-09,21.16,1.26,72.03,2020
2020-02-10,22.6,0.27,70.15,2020
2020-02-11,23.24,0.0,67.4,2020
2020-02-12,23.34,0.0,63.07,2020
2020-02-13,22.6,0.0,41.81,2020
2020-02-14,23.31,0.0,32.45,2020
2020-02-15,24.84,0.0,30.19,2020
2020-02-16,24.11,0.0,35.11,2020
2020-02-17,24.15,0.0,32.0,2020
2020-02-18,23.37,0.0,25.43,2020
2020-02-19,23.92,0.0,33.77,2020
2020-02-20,24.68,0.0,57.47,2020
2020-02-21,23.87,0.0,51.78,2020
2020-02-22,24.37,0.0,51.74,2020
2020-02-23,24.65,0.0,52.06,2020
2020-02-24,26.43,0.0,49.06,2020
2020-02-25,25.86,0.0,48.24,2020
2020-02-26,24.29,0.0,30.97,2020
2020-02-27,24.07,0.0,28.3,2020
2020-02-28,24.9,0.0,46.09,2020
2020-02-29,25.98,0.0,54.49,2020
2020-03-01,26.74,2.42,52.48,2020
2020-03-02,27.26,0.71,44.95,2020
2020-03-03,27.8,0.0,42.34,2020
2020-03-04,27.99,0.01,34.47,2020
2020-03-05,27.32,0.95,47.62,2020
2020-03-06,26.85,1.68,54.74,2020
2020-03-07,27.05,1.03,57.54,2020
2020-03-08,27.41,0.58,52.07,2020
2020-03-09,27.28,0.12,54.72,2020
2020-03-10,28.47,0.0,48.42,2020
2020-03-11,28.43,0.66,50.08,2020
2020-03-12,27.97,0.42,49.43,2020
2020-03-13,28.38,0.06,47.98,2020
2020-03-14,28.64,0.0,44.36,2020
2020-03-15,28.16,0.0,48.77,2020
2020-03-16,28.13,0.0,47.8,2020
2020-03-17,28.73,0.0,44.15,2020
2020-03-18,29.73,0.06,35.86,2020
2020-03-19,28.32,5.26,44.03,2020
2020-03-20,28.6,0.79,47.16,2020
2020-03-21,28.2,0.0,39.82,2020
2020-03-22,27.71,0.0,31.9,2020
2020-03-23,28.65,0.07,38.63,2020
2020-03-24,29.41,0.0,44.06,2020
2020-03-25,29.58,0.0,41.97,2020
2020-03-26,29.43,0.0,42.13,2020
2020-03-27,30.01,0.0,35.74,2020
2020-03-28,30.51,0.65,32.69,2020
2020-03-29,31.15,1.15,34.76,2020
2020-03-30,30.91,0.05,36.64,2020
2020-03-31,31.54,0.0,33.89,2020
2020-04-01,31.95,0.0,31.32,2020
2020-04-02,32.47,0.11,29.79,2020
2020-04-03,31.72,0.33,36.5,2020
2020-04-04,29.12,0.77,42.23,2020
2020-04-05,31.1,0.0,34.65,2020
2020-04-06,31.34,2.43,42.15,2020
2020-04-07,31.9,0.11,39.14,2020
2020-04-08,32.34,0.01,34.36,2020
2020-04-09,30.81,4.57,42.28,2020
2020-04-10,30.12,0.62,44.14,2020
2020-04-11,30.63,0.0,38.58,2020
2020-04-12,31.7,0.0,33.31,2020
2020-04-13,32.07,0.0,32.41,2020
2020-04-14,32.04,0.0,28.71,2020
2020-04-15,31.57,0.0,30.19,2020
2020-04-16,32.18,0.0,28.53,2020
2020-04-17,32.41,0.11,34.02,2020
2020-04-18,32.7,0.2,37.07,2020
2020-04-19,32.2,0.56,37.94,2020
2020-04-20,32.62,0.97,37.03,2020
2020-04-21,32.59,0.52,34.35,2020
2020-04-22,32.93,0.06,35.75,2020
2020-04-23,33.55,0.0,41.24,2020
2020-04-24,33.64,0.65,42.65,2020
2020-04-25,33.98,0.17,39.51,2020
2020-04-26,32.39,3.28,50.3,2020
2020-04-27,31.02,2.75,55.19,2020
2020-04-28,30.05,2.34,54.12,2020
2020-04-29,30.93,1.02,47.78,2020
2020-04-30,32.38,0.0,39.26,2020
2020-05-01,32.99,2.97,40.39,2020
2020-05-02,31.73,5.94,47.3,2020
2020-05-03,32.77,0.0,39.84,2020
2020-05-04,33.87,0.22,38.86,2020
2020-05-05,34.33,0.0,35.77,2020
2020-05-06,33.89,0.2,39.63,2020
2020-05-07,32.61,2.27,45.49,2020
2020-05-08,32.04,3.64,46.92,2020
2020-05-09,33.41,0.13,41.13,2020
2020-05-10,32.87,0.07,39.68,2020
2020-05-11,32.81,0.0,37.24,2020
2020-05-12,32.45,4.31,42.94,2020
2020-05-13,31.96,0.83,46.62,2020
2020-05-14,32.93,0.0,40.43,2020
2020-05-15,33.44,0.0,38.22,2020
2020-05-16,33.24,5.24,43.75,2020
2020-05-17,32.2,4.36,52.34,2020
2020-05-18,32.86,0.56,42.75,2020
2020-05-19,33.33,2.56,34.35,2020
2020-05-20,33.75,0.0,28.32,2020
2020-05-21,33.04,0.0,17.84,2020
2020-05-22,33.98,0.0,18.43,2020
2020-05-23,34.75,0.0,24.63,2020
2020-05-24,34.19,0.0,39.13,2020
2020-05-25,34.8,0.0,38.02,2020
2020-05-26,35.17,0.0,40.91,2020
2020-05-27,35.93,0.0,34.75,2020
2020-05-28,37.04,0.0,26.36,2020
2020-05-29,36.36,0.96,30.29,2020
2020-05-30,33.47,2.25,39.98,2020
2020-05-31,31.61,7.7,51.06,2020
2020-06-01,28.46,8.15,70.01,2020
2020-06-02,26.02,12.94,75.77,2020
2020-06-03,27.05,3.82,75.31,2020
2020-06-04,28.92,1.42,63.84,2020
2020-06-05,29.92,0.43,57.46,2020
2020-06-06,30.06,0.0,51.0,2020
2020-06-07,30.14,0.0,53.75,2020
2020-06-08,30.42,0.0,50.88,2020
2020-06-09,30.18,5.62,50.68,2020
2020-06-10,28.15,24.41,72.59,2020
2020-06-11,25.58,28.85,82.61,2020
2020-06-12,24.48,5.56,80.39,2020
2020-06-13,27.37,0.1,71.55,2020
2020-06-14,27.88,0.75,69.76,2020
2020-06-15,28.11,2.74,70.47,2020
2020-06-16,27.6,8.34,75.42,2020
2020-06-17,26.76,11.84,78.38,2020
2020-06-18,27.35,9.3,72.86,2020
2020-06-19,27.5,0.99,73.26,2020
2020-06-20,26.86,3.37,74.46,2020
2020-06-21,26.55,0.55,75.31,2020
2020-06-22,27.53,1.03,70.05,2020
2020-06-23,27.3,1.31,71.25,2020
2020-06-24,28.71,0.53,65.54,2020
2020-06-25,28.87,0.59,64.04,2020
2020-06-26,28.65,0.07,67.8,2020
2020-06-27,27.87,15.65,75.38,2020
2020-06-28,26.99,9.62,82.55,2020
2020-06-29,26.16,15.88,84.38,2020
2020-06-30,26.86,1.4,80.84,2020
2020-07-01,27.24,4.04,76.6,2020
2020-07-02,25.56,19.25,81.86,2020
2020-07-03,25.88,5.62,81.11,2020
2020-07-04,24.29,6.48,84.91,2020
2020-07-05,25.59,11.46,80.0,2020
2020-07-06,25.51,2.55,80.82,2020
2020-07-07,26.14,1.31,78.17,2020
2020-07-08,27.11,2.52,75.73,2020
2020-07-09,25.75,4.82,78.63,2020
2020-07-10,25.35,17.71,83.47,2020
2020-07-11,26.28,1.16,79.78,2020
2020-07-12,26.18,5.36,78.87,2020
2020-07-13,24.92,11.08,87.2,2020
2020-07-14,24.85,11.66,87.13,2020
2020-07-15,24.88,32.2,88.33,2020
2020-07-16,25.1,6.41,82.96,2020
2020-07-17,25.68,1.32,79.13,2020
2020-07-18,26.3,0.59,80.84,2020
2020-07-19,26.16,13.17,85.07,2020
2020-07-20,26.22,5.13,83.06,2020
2020-07-21,26.07,2.27,84.41,2020
2020-07-22,26.05,14.85,85.43,2020
2020-07-23,24.75,19.3,88.12,2020
2020-07-24,24.42,16.41,89.86,2020
2020-07-25,24.78,2.17,85.85,2020
2020-07-26,25.62,0.02,79.99,2020
2020-07-27,26.07,0.0,81.76,2020
2020-07-28,25.73,11.63,87.42,2020
2020-07-29,26.07,9.57,84.93,2020
2020-07-30,26.8,2.62,81.06,2020
2020-07-31,26.39,7.07,85.36,2020
2020-08-01,25.96,11.3,86.1,2020
2020-08-02,25.97,6.18,86.15,2020
2020-08-03,24.93,6.4,88.64,2020
2020-08-04,24.97,3.22,86.51,2020
2020-08-05,25.04,4.03,88.27,2020
2020-08-06,26.41,1.17,82.3,2020
2020-08-07,26.03,1.89,84.99,2020
2020-08-08,25.81,0.22,84.65,2020
2020-08-09,25.33,8.61,86.07,2020
2020-08-10,25.29,17.09,84.75,2020
2020-08-11,25.43,6.35,85.34,2020
2020-08-12,24.54,19.9,88.65,2020
2020-08-13,24.57,28.81,88.66,2020
2020-08-14,24.32,16.82,87.73,2020
2020-08-15,23.92,48.39,91.99,2020
2020-08-16,24.17,27.44,89.18,2020
2020-08-17,24.73,6.02,85.76,2020
2020-08-18,25.28,3.71,86.92,2020
2020-08-19,25.06,24.88,88.98,2020
2020-08-20,24.74,17.38,90.22,2020
2020-08-21,25.04,6.81,87.83,2020
2020-08-22,25.21,0.56,87.39,2020
2020-08-23,25.79,2.32,85.44,2020
2020-08-24,25.71,1.03,85.91,2020
