,temp,rain,hum,year
2020-01-01,19.39,0.0,77.27,2020
2020-01-02,20.29,0.0,81.0,2020
2020-01-03,19.84,0.03,78.36,2020
2020-01-04,19.41,0.0,71.24,2020
2020-01-05,20.86,0.0,71.04,2020
2020-01-06,22.83,0.05,68.83,2020
2020-01-07,23.42,0.0,75.85,2020
2020-01-08,22.38,0.0,83.18,2020
2020-01-09,20.25,0.0,68.66,2020
2020-01-10,22.23,0.0,70.68,2020
2020-01-11,23.27,0.0,66.14,2020
2020-01-12,22.99,0.0,64.62,2020
2020-01-13,22.67,0.04,79.11,2020
2020-01-14,21.81,0.01,80.46,2020
2020-01-15,19.85,0.0,75.92,2020
2020-01-16,18.86,0.0,66.39,2020
2020-01-17,17.25,0.0,60.12,2020
2020-01-18,19.59,0.0,60.64,2020
2020-01-19,21.51,0.0,63.04,2020
2020-01-20,23.08,0.0,66.98,2020
2020-01-21,23.23,0.0,63.07,2020
2020-01-22,23.73,0.0,62.57,2020
2020-01-23,24.22,0.0,60.25,2020
2020-01-24,24.57,0.0,62.58,2020
2020-01-25,24.86,0.0,55.99,2020
2020-01-26,24.51,0.0,54.4,2020
2020-01-27,23.5,0.0,59.93,2020
2020-01-28,22.11,0.03,77.46,2020
2020-01-29,20.4,0.0,67.05,2020
2020-01-30,19.28,0.0,54.28,2020
2020-01-31,19.64,0.0,52.55,2020
2020-02-01,21.0,0.0,53.74,2020
2020-02-02,22.57,0.01,64.09,2020
2020-02-03,22.95,0.0,70.32,2020
2020-02-04,22.61,0.0,61.68,2020
2020-02-05,22.22,0.0,50.84,2020
2020-02-06,21.75,0.0,52.47,2020
2020-02-07,20.82,0.0,50.92,2020
2020-02-08,21.98,0.0,59.2,2020
2020-02-09,23.85,0.0,57.36,2020
2020-02-10,25.4,0.0,58.81,2020
2020-02-11,26.13,0.05,60.77,2020
2020-02-12,26.9,0.01,57.29,2020
2020-02-13,26.44,0.01,53.76,2020
2020-02-14,25.75,0.0,48.38,2020
2020-02-15,25.28,0.0,45.4,2020
2020-02-16,25.72,0.0,49.18,2020
2020-02-17,26.84,0.0,48.4,2020
2020-02-18,27.1,0.0,46.14,2020
2020-02-19,26.96,0.0,49.52,2020
2020-02-20,26.63,0.0,51.62,2020
2020-02-21,26.1,0.0,55.08,2020
2020-02-22,26.87,0.0,45.39,2020
2020-02-23,27.07,0.0,41.2,2020
2020-02-24,26.68,0.0,39.48,2020
2020-02-25,26.54,0.0,33.59,2020
2020-02-26,26.5,0.0,34.25,2020
2020-02-27,26.99,0.0,31.62,2020
2020-02-28,27.15,0.0,35.18,2020
2020-02-29,27.14,0.11,40.97,2020
2020-03-01,26.82,0.02,48.66,2020
2020-03-02,26.89,0.0,54.32,2020
2020-03-03,25.3,0.0,62.8,2020
2020-03-04,25.02,0.0,61.72,2020
2020-03-05,24.73,0.0,64.01,2020
2020-03-06,24.76,0.05,65.33,2020
2020-03-07,24.64,0.02,55.41,2020
2020-03-08,24.62,0.0,52.05,2020
2020-03-09,25.22,0.0,57.32,2020
2020-03-10,25.52,0.0,64.39,2020
2020-03-11,24.68,0.03,59.97,2020
2020-03-12,23.81,0.62,63.61,2020
2020-03-13,23.36,0.0,51.14,2020
2020-03-14,25.04,0.0,28.44,2020
2020-03-15,27.42,0.0,26.19,2020
2020-03-16,29.76,0.04,28.35,2020
2020-03-17,30.6,0.02,28.56,2020
