,temp,rain,hum,year
2020-01-01,8.58,0.01,58.03,2020
2020-01-02,9.08,0.0,52.85,2020
2020-01-03,8.82,0.0,50.27,2020
2020-01-04,10.65,0.0,49.74,2020
2020-01-05,11.8,0.0,46.87,2020
2020-01-06,10.07,0.0,45.87,2020
2020-01-07,12.54,0.0,35.32,2020
2020-01-08,11.46,0.0,40.34,2020
2020-01-09,10.07,0.28,57.39,2020
2020-01-10,8.76,0.02,53.41,2020
2020-01-11,8.23,0.01,40.09,2020
2020-01-12,9.6,0.0,42.36,2020
2020-01-13,10.49,0.0,43.49,2020
2020-01-14,12.09,0.0,42.68,2020
2020-01-15,12.88,0.0,42.79,2020
2020-01-16,12.2,0.53,56.93,2020
2020-01-17,10.69,0.03,64.12,2020
2020-01-18,11.24,0.0,45.35,2020
2020-01-19,14.12,0.0,39.27,2020
2020-01-20,16.11,0.26,47.25,2020
2020-01-21,12.82,4.34,75.56,2020
2020-01-22,12.49,0.11,69.8,2020
2020-01-23,12.56,0.0,53.77,2020
2020-01-24,13.51,0.0,50.23,2020
2020-01-25,13.97,0.0,50.94,2020
2020-01-26,14.73,0.0,50.29,2020
2020-01-27,13.76,0.0,49.47,2020
2020-01-28,12.03,0.0,38.5,2020
2020-01-29,11.77,0.1,45.72,2020
2020-01-30,11.7,0.0,42.57,2020
2020-01-31,12.63,0.0,37.13,2020
2020-02-01,13.99,0.0,41.15,2020
2020-02-02,14.83,0.0,42.72,2020
2020-02-03,9.82,0.0,45.14,2020
2020-02-04,4.24,0.0,38.54,2020
2020-02-05,4.11,0.0,38.45,2020
2020-02-06,6.75,0.0,40.04,2020
2020-02-07,11.19,0.0,41.51,2020
2020-02-08,13.4,0.0,41.68,2020
2020-02-09,13.01,0.0,52.91,2020
2020-02-10,14.59,11.03,67.78,2020
2020-02-11,9.58,4.54,71.2,2020
2020-02-12,10.17,0.0,48.7,2020
2020-02-13,10.9,0.0,40.77,2020
2020-02-14,13.23,0.0,44.7,2020
2020-02-15,13.89,0.0,41.32,2020
2020-02-16,14.64,0.0,38.94,2020
2020-02-17,15.72,0.0,41.55,2020
2020-02-18,15.8,0.0,44.22,2020
2020-02-19,16.8,0.0,39.65,2020
2020-02-20,16.71,0.0,36.89,2020
2020-02-21,17.6,0.0,41.9,2020
2020-02-22,14.05,26.1,77.89,2020
2020-02-23,11.31,2.48,71.77,2020
2020-02-24,12.95,0.0,56.14,2020
2020-02-25,10.66,0.0,35.89,2020
2020-02-26,10.23,0.0,32.34,2020
2020-02-27,13.59,0.0,37.78,2020
2020-02-28,16.42,0.0,34.44,2020
2020-02-29,16.76,0.0,36.77,2020
2020-03-01,14.31,0.0,47.09,2020
2020-03-02,13.07,0.21,55.61,2020
2020-03-03,14.74,0.08,46.29,2020
2020-03-04,14.31,0.0,53.72,2020
2020-03-05,18.21,0.0,42.88,2020
2020-03-06,19.72,0.0,36.89,2020
2020-03-07,18.53,0.0,44.09,2020
2020-03-08,16.75,0.01,47.49,2020
2020-03-09,16.75,0.0,42.48,2020
2020-03-10,18.27,4.34,60.64,2020
2020-03-11,17.86,19.13,80.05,2020
2020-03-12,16.86,14.25,84.58,2020
2020-03-13,14.38,5.19,71.03,2020
2020-03-14,15.15,0.16,63.92,2020
2020-03-15,17.36,0.0,55.3,2020
2020-03-16,17.66,0.0,54.72,2020
2020-03-17,16.24,0.0,58.3,2020
2020-03-18,12.74,13.99,74.66,2020
2020-03-19,11.58,4.91,66.08,2020
2020-03-20,13.68,0.07,53.13,2020
2020-03-21,15.92,0.04,47.77,2020
2020-03-22,16.16,0.0,45.54,2020
2020-03-23,16.88,0.03,49.53,2020
2020-03-24,17.68,0.0,41.94,2020
2020-03-25,17.89,0.0,45.21,2020
2020-03-26,14.24,0.0,51.06,2020
2020-03-27,10.15,0.06,53.92,2020
2020-03-28,12.62,0.0,41.87,2020
2020-03-29,15.51,0.0,39.12,2020
2020-03-30,16.24,0.0,41.92,2020
2020-03-31,18.36,0.0,40.22,2020
2020-04-01,20.06,0.0,39.2,2020
2020-04-02,18.68,0.0,41.85,2020
2020-04-03,19.43,0.0,41.07,2020
2020-04-04,18.3,0.0,42.04,2020
2020-04-05,18.68,0.0,41.62,2020
2020-04-06,18.02,0.0,44.65,2020
2020-04-07,18.98,0.0,43.19,2020
2020-04-08,18.09,0.07,45.49,2020
2020-04-09,15.36,0.0,45.82,2020
2020-04-10,16.71,0.0,36.46,2020
2020-04-11,14.47,0.47,55.84,2020
2020-04-12,15.6,0.03,57.22,2020
2020-04-13,16.67,2.03,56.07,2020
2020-04-14,17.07,0.0,36.9,2020
2020-04-15,18.12,0.07,26.82,2020
2020-04-16,20.17,0.0,26.31,2020
2020-04-17,20.44,0.0,31.74,2020
2020-04-18,17.6,0.0,42.8,2020
2020-04-19,19.98,0.02,39.64,2020
2020-04-20,20.94,0.0,37.22,2020
2020-04-21,19.68,0.01,43.93,2020
2020-04-22,22.12,0.0,35.72,2020
2020-04-23,24.57,0.0,30.52,2020
2020-04-24,25.86,0.0,31.39,2020
2020-04-25,27.02,0.0,25.74,2020
2020-04-26,28.0,0.0,26.23,2020
2020-04-27,27.3,0.0,27.73,2020
2020-04-28,27.84,0.0,25.33,2020
2020-04-29,28.83,0.0,27.24,2020
2020-04-30,28.9,0.0,27.55,2020
2020-05-01,28.21,0.0,27.92,2020
2020-05-02,26.8,0.0,28.12,2020
2020-05-03,25.98,0.0,27.53,2020
2020-05-04,26.77,0.0,23.59,2020
2020-05-05,28.11,0.0,22.53,2020
2020-05-06,29.62,0.0,20.71,2020
2020-05-07,29.79,0.0,18.67,2020
2020-05-08,29.26,0.0,25.17,2020
2020-05-09,30.47,0.02,31.64,2020
2020-05-10,28.11,0.52,35.58,2020
2020-05-11,28.09,0.0,32.6,2020
2020-05-12,25.52,0.0,24.82,2020
2020-05-13,23.73,0.0,31.64,2020
2020-05-14,24.25,0.0,27.28,2020
2020-05-15,26.02,0.0,26.55,2020
2020-05-16,27.62,0.0,24.4,2020
2020-05-17,28.19,0.0,24.36,2020
2020-05-18,27.85,0.0,23.31,2020
2020-05-19,23.89,0.0,23.59,2020
2020-05-20,22.23,0.0,19.41,2020
2020-05-21,24.63,0.0,14.07,2020
2020-05-22,25.62,0.0,15.66,2020
2020-05-23,25.09,0.0,19.88,2020
2020-05-24,25.68,0.0,18.05,2020
2020-05-25,27.21,0.0,15.06,2020
2020-05-26,29.36,0.0,12.23,2020
2020-05-27,31.33,0.0,12.16,2020
2020-05-28,32.63,0.0,14.15,2020
2020-05-29,34.21,0.0,13.25,2020
2020-05-30,33.6,0.44,16.6,2020
2020-05-31,33.12,0.0,16.27,2020
2020-06-01,32.82,0.03,17.11,2020
2020-06-02,33.21,0.0,15.01,2020
2020-06-03,34.13,0.0,20.35,2020
2020-06-04,35.23,0.0,16.57,2020
2020-06-05,32.84,0.03,15.73,2020
2020-06-06,27.34,0.0,30.29,2020
2020-06-07,27.11,0.0,23.57,2020
2020-06-08,25.05,0.0,12.43,2020
2020-06-09,25.79,0.0,10.83,2020
2020-06-10,30.04,0.0,9.18,2020
2020-06-11,32.63,0.0,7.85,2020
2020-06-12,32.95,0.0,12.71,2020
2020-06-13,31.67,0.0,8.42,2020
2020-06-14,30.3,0.0,10.19,2020
2020-06-15,31.14,0.0,12.08,2020
2020-06-16,31.32,0.0,11.7,2020
2020-06-17,30.39,0.0,16.84,2020
2020-06-18,30.41,0.0,14.74,2020
2020-06-19,30.75,0.0,13.18,2020
2020-06-20,31.87,0.0,12.59,2020
2020-06-21,32.88,0.0,14.04,2020
2020-06-22,33.18,0.0,12.41,2020
2020-06-23,33.52,0.0,10.33,2020
2020-06-24,34.46,0.0,8.82,2020
2020-06-25,34.76,0.0,9.71,2020
2020-06-26,34.59,0.0,10.26,2020
2020-06-27,34.26,0.0,13.28,2020
2020-06-28,32.28,0.01,18.64,2020
2020-06-29,30.29,0.0,23.12,2020
2020-06-30,29.7,0.0,21.9,2020
2020-07-01,30.83,0.0,16.36,2020
2020-07-02,32.3,0.21,22.06,2020
2020-07-03,34.03,0.09,27.7,2020
2020-07-04,35.42,0.0,23.22,2020
2020-07-05,35.54,0.0,15.6,2020
2020-07-06,35.4,0.0,10.28,2020
2020-07-07,36.2,0.0,10.92,2020
2020-07-08,36.14,0.0,20.75,2020
2020-07-09,36.04,0.0,17.32,2020
2020-07-10,36.14,0.0,19.5,2020
2020-07-11,36.71,0.16,19.22,2020
2020-07-12,37.91,0.12,18.99,2020
2020-07-13,37.06,0.06,19.81,2020
2020-07-14,36.0,0.0,18.73,2020
2020-07-15,35.99,0.0,18.16,2020
2020-07-16,36.64,0.05,18.09,2020
2020-07-17,36.24,0.43,20.21,2020
2020-07-18,36.18,0.05,15.98,2020
2020-07-19,35.84,0.0,16.54,2020
2020-07-20,35.35,0.0,15.31,2020
2020-07-21,35.87,0.21,19.53,2020
2020-07-22,35.56,0.47,31.34,2020
2020-07-23,31.46,0.98,45.4,2020
2020-07-24,32.51,2.53,41.04,2020
2020-07-25,33.23,0.9,35.11,2020
2020-07-26,35.39,0.23,24.69,2020
2020-07-27,35.69,1.01,23.29,2020
2020-07-28,36.94,0.28,26.09,2020
2020-07-29,36.85,0.0,16.11,2020
2020-07-30,38.32,0.0,15.11,2020
2020-07-31,38.07,0.0,14.94,2020
2020-08-01,36.51,0.2,27.39,2020
2020-08-02,36.42,0.3,27.96,2020
2020-08-03,36.86,0.0,21.93,2020
2020-08-04,35.73,0.0,20.41,2020
2020-08-05,35.22,0.0,16.55,2020
2020-08-06,34.25,0.0,14.04,2020
2020-08-07,35.21,0.0,15.09,2020
2020-08-08,35.8,0.0,13.21,2020
2020-08-09,35.68,0.0,13.09,2020
2020-08-10,35.89,0.0,11.64,2020
2020-08-11,35.06,0.0,21.37,2020
2020-08-12,35.9,0.14,22.56,2020
2020-08-13,37.42,0.01,18.33,2020
2020-08-14,36.98,0.0,17.43,2020
2020-08-15,36.99,0.01,21.38,2020
2020-08-16,37.46,0.22,20.44,2020
2020-08-17,37.62,0.88,27.57,2020
2020-08-18,37.73,0.17,19.22,2020
2020-08-19,37.69,0.29,21.37,2020
2020-08-20,34.44,0.95,28.05,2020
2020-08-21,31.87,4.11,44.39,2020
2020-08-22,32.28,0.68,39.38,2020
2020-08-23,35.03,0.17,31.65,2020
2020-08-24,36.26,0.62,26.79,2020
2020-08-25,36.34,0.2,27.57,2020
2020-08-26,36.67,0.27,24.98,2020
2020-08-27,36.73,0.6,23.93,2020
2020-08-28,36.49,0.03,24.27,2020
2020-08-29,34.48,0.91,31.84,2020
2020-08-30,31.77,5.06,57.34,2020
2020-08-31,30.61,0.84,52.47,2020
2020-09-01,31.67,0.44,39.37,2020
2020-09-02,31.58,0.0,34.56,2020
2020-09-03,33.23,0.0,27.35,2020
2020-09-04,35.74,0.0,18.29,2020
2020-09-05,37.29,0.05,17.95,2020
2020-09-06,36.49,0.0,18.69,2020
2020-09-07,34.18,0.0,24.52,2020
2020-09-08,29.72,1.1,31.81,2020
2020-09-09,24.58,0.0,16.94,2020
2020-09-10,25.32,0.0,19.73,2020
2020-09-11,26.89,0.0,23.34,2020
2020-09-12,29.02,0.0,22.09,2020
2020-09-13,30.97,0.0,22.79,2020
2020-09-14,32.03,0.0,20.74,2020
2020-09-15,31.73,0.0,24.34,2020
2020-09-16,32.3,0.0,13.92,2020
2020-09-17,33.14,0.0,13.48,2020
2020-09-18,32.64,0.0,16.82,2020
