,temp,rain,hum,year
2020-01-01,17.41,0.0,76.18,2020
2020-01-02,18.07,0.0,77.99,2020
2020-01-03,17.3,0.0,80.61,2020
2020-01-04,16.71,0.0,75.26,2020
2020-01-05,17.09,0.0,79.12,2020
2020-01-06,18.91,0.0,76.77,2020
2020-01-07,20.29,0.0,83.01,2020
2020-01-08,19.62,0.0,88.48,2020
2020-01-09,17.67,0.0,79.48,2020
2020-01-10,18.46,0.0,79.38,2020
2020-01-11,18.88,0.0,74.8,2020
2020-01-12,19.33,0.0,65.31,2020
2020-01-13,19.26,0.0,74.37,2020
2020-01-14,18.93,0.0,82.97,2020
2020-01-15,17.62,0.0,82.48,2020
2020-01-16,15.51,0.0,77.7,2020
2020-01-17,14.9,0.0,61.93,2020
2020-01-18,17.57,0.0,67.89,2020
2020-01-19,18.97,0.0,70.25,2020
2020-01-20,19.89,0.0,72.66,2020
2020-01-21,20.94,0.0,70.85,2020
2020-01-22,21.01,0.0,68.41,2020
2020-01-23,20.94,0.0,64.63,2020
2020-01-24,20.86,0.0,65.1,2020
2020-01-25,21.69,0.0,63.27,2020
2020-01-26,21.55,0.0,65.53,2020
2020-01-27,20.56,0.0,70.07,2020
2020-01-28,17.96,0.0,84.12,2020
2020-01-29,17.18,0.0,78.82,2020
2020-01-30,16.41,0.0,63.08,2020
2020-01-31,17.22,0.0,60.88,2020
2020-02-01,17.76,0.0,60.44,2020
2020-02-02,18.93,0.0,69.05,2020
2020-02-03,19.61,0.0,77.08,2020
2020-02-04,19.43,0.0,74.87,2020
2020-02-05,19.16,0.0,60.61,2020
2020-02-06,18.78,0.0,59.68,2020
2020-02-07,17.53,0.0,54.63,2020
2020-02-08,18.14,0.0,69.76,2020
2020-02-09,20.03,0.0,70.94,2020
2020-02-10,21.45,0.0,69.63,2020
2020-02-11,22.02,0.0,70.75,2020
2020-02-12,22.64,0.0,65.44,2020
2020-02-13,22.14,0.0,59.54,2020
2020-02-14,21.64,0.0,58.76,2020
2020-02-15,21.61,0.0,55.31,2020
2020-02-16,23.04,0.0,51.55,2020
2020-02-17,23.26,0.0,49.43,2020
2020-02-18,23.11,0.0,49.35,2020
2020-02-19,23.55,0.0,54.3,2020
2020-02-20,23.32,0.0,54.83,2020
2020-02-21,23.02,0.0,55.94,2020
2020-02-22,23.78,0.0,52.98,2020
2020-02-23,24.18,0.0,49.28,2020
2020-02-24,23.72,0.0,45.37,2020
2020-02-25,22.54,0.0,41.49,2020
2020-02-26,22.38,0.0,36.52,2020
2020-02-27,22.72,0.0,35.66,2020
2020-02-28,23.21,0.0,41.12,2020
2020-02-29,23.59,0.0,46.64,2020
2020-03-01,23.99,0.38,51.98,2020
2020-03-02,23.39,0.0,52.44,2020
2020-03-03,21.89,0.0,58.74,2020
2020-03-04,20.76,0.0,68.07,2020
2020-03-05,20.99,0.0,66.38,2020
2020-03-06,20.6,0.0,72.19,2020
2020-03-07,20.62,0.0,66.13,2020
2020-03-08,21.9,0.0,58.82,2020
2020-03-09,21.99,0.0,63.27,2020
2020-03-10,21.84,0.0,70.72,2020
2020-03-11,21.2,0.0,67.48,2020
2020-03-12,20.33,0.0,69.88,2020
2020-03-13,20.06,0.0,60.89,2020
2020-03-14,21.56,0.0,34.15,2020
2020-03-15,24.3,0.0,32.97,2020
2020-03-16,26.51,0.11,38.3,2020
2020-03-17,27.94,0.0,38.02,2020
2020-03-18,27.39,0.0,37.9,2020
2020-03-19,25.18,0.0,39.14,2020
2020-03-20,23.76,0.0,49.33,2020
2020-03-21,23.95,0.0,52.85,2020
2020-03-22,25.47,0.0,47.75,2020
2020-03-23,26.99,0.0,44.27,2020
2020-03-24,28.17,0.43,43.41,2020
2020-03-25,27.6,2.99,51.72,2020
2020-03-26,26.43,2.38,61.71,2020
2020-03-27,27.3,0.36,57.43,2020
2020-03-28,27.47,1.09,48.66,2020
2020-03-29,28.65,1.04,45.3,2020
2020-03-30,28.7,0.2,44.03,2020
2020-03-31,28.04,0.09,41.7,2020
2020-04-01,28.38,0.0,37.46,2020
2020-04-02,28.58,0.0,33.91,2020
2020-04-03,29.16,0.0,35.17,2020
2020-04-04,28.74,0.01,39.12,2020
2020-04-05,28.66,0.09,41.94,2020
2020-04-06,27.16,0.07,51.3,2020
2020-04-07,26.64,0.0,47.3,2020
2020-04-08,25.39,0.0,46.11,2020
2020-04-09,26.27,0.0,51.15,2020
2020-04-10,28.48,0.0,42.53,2020
2020-04-11,30.33,0.01,39.56,2020
2020-04-12,30.82,0.63,35.09,2020
2020-04-13,30.82,0.1,34.38,2020
2020-04-14,30.94,0.32,33.02,2020
2020-04-15,31.72,0.11,32.77,2020
2020-04-16,30.78,0.07,42.39,2020
2020-04-17,30.41,0.02,44.29,2020
2020-04-18,30.91,0.05,42.24,2020
2020-04-19,31.26,1.49,41.05,2020
2020-04-20,31.59,0.02,34.04,2020
2020-04-21,29.95,0.0,30.36,2020
2020-04-22,29.52,0.0,41.93,2020
2020-04-23,29.37,0.0,48.29,2020
2020-04-24,28.95,0.0,51.97,2020
2020-04-25,27.91,0.0,52.99,2020
2020-04-26,28.3,0.0,46.93,2020
2020-04-27,28.82,0.0,56.05,2020
2020-04-28,30.91,0.01,47.24,2020
2020-04-29,30.86,0.22,47.66,2020
2020-04-30,30.22,0.88,51.64,2020
2020-05-01,29.78,1.27,56.01,2020
2020-05-02,29.77,5.2,57.53,2020
2020-05-03,30.06,0.04,52.27,2020
2020-05-04,29.53,0.01,48.36,2020
2020-05-05,29.72,0.02,55.07,2020
2020-05-06,30.86,0.05,47.9,2020
2020-05-07,31.05,0.0,40.52,2020
2020-05-08,30.05,0.0,48.32,2020
2020-05-09,30.7,0.0,47.22,2020
2020-05-10,30.81,1.22,48.15,2020
2020-05-11,30.59,5.17,46.66,2020
2020-05-12,29.81,0.08,43.71,2020
2020-05-13,30.2,0.77,50.64,2020
2020-05-14,30.96,1.28,52.7,2020
2020-05-15,28.72,4.1,60.61,2020
2020-05-16,28.8,0.25,58.92,2020
2020-05-17,29.02,0.99,58.85,2020
2020-05-18,27.97,0.31,60.17,2020
