,temp,rain,hum,year
2020-01-01,26.63,0.79,85.65,2020
2020-01-02,26.18,1.57,90.32,2020
2020-01-03,26.57,1.18,87.83,2020
2020-01-04,26.3,1.38,87.59,2020
2020-01-05,26.36,0.8,87.66,2020
2020-01-06,26.28,6.37,87.8,2020
2020-01-07,26.06,5.44,89.58,2020
2020-01-08,26.62,4.52,88.4,2020
2020-01-09,26.73,1.5,87.79,2020
2020-01-10,26.25,2.12,88.36,2020
2020-01-11,26.4,1.81,85.88,2020
2020-01-12,26.3,2.62,87.57,2020
2020-01-13,26.19,0.17,85.84,2020
2020-01-14,26.56,0.21,86.19,2020
2020-01-15,26.74,1.37,86.47,2020
2020-01-16,26.6,1.09,86.87,2020
2020-01-17,26.63,0.04,85.51,2020
2020-01-18,26.95,0.9,87.43,2020
2020-01-19,27.12,1.49,87.82,2020
2020-01-20,27.05,3.58,88.3,2020
2020-01-21,26.64,12.18,87.31,2020
2020-01-22,27.01,3.3,86.16,2020
2020-01-23,26.91,1.65,87.06,2020
2020-01-24,26.44,0.04,83.1,2020
2020-01-25,26.49,0.03,81.33,2020
2020-01-26,27.07,0.68,82.72,2020
2020-01-27,27.19,6.92,85.17,2020
2020-01-28,27.63,6.74,84.84,2020
2020-01-29,26.79,22.47,87.37,2020
2020-01-30,26.94,2.97,83.83,2020
2020-01-31,26.95,1.33,83.52,2020
2020-02-01,26.93,2.6,86.0,2020
2020-02-02,26.71,1.74,84.79,2020
2020-02-03,26.47,0.17,82.83,2020
2020-02-04,26.31,0.36,82.87,2020
2020-02-05,26.57,0.35,83.87,2020
2020-02-06,26.93,0.48,83.41,2020
2020-02-07,26.59,0.13,81.75,2020
2020-02-08,26.54,0.69,82.01,2020
2020-02-09,26.66,20.28,87.31,2020
2020-02-10,26.5,32.96,87.17,2020
2020-02-11,26.65,8.2,88.49,2020
2020-02-12,27.04,2.83,87.35,2020
2020-02-13,27.16,0.69,85.68,2020
2020-02-14,27.27,0.07,83.82,2020
2020-02-15,27.14,0.06,82.5,2020
2020-02-16,27.17,2.41,82.11,2020
2020-02-17,27.07,1.43,81.47,2020
2020-02-18,26.37,14.88,88.17,2020
2020-02-19,26.97,3.96,84.49,2020
2020-02-20,26.81,4.09,86.2,2020
2020-02-21,26.84,6.9,86.03,2020
2020-02-22,26.73,2.92,84.51,2020
2020-02-23,26.83,1.06,83.81,2020
2020-02-24,26.78,4.62,85.93,2020
2020-02-25,27.02,0.39,84.23,2020
2020-02-26,27.1,0.03,84.7,2020
2020-02-27,27.31,0.09,83.9,2020
2020-02-28,27.12,0.06,84.07,2020
2020-02-29,26.53,0.01,82.21,2020
2020-03-01,26.88,0.01,81.15,2020
2020-03-02,27.01,0.05,83.23,2020
2020-03-03,27.42,0.1,84.23,2020
2020-03-04,27.64,0.03,82.47,2020
2020-03-05,27.12,2.89,85.37,2020
2020-03-06,27.2,0.94,84.83,2020
2020-03-07,27.26,3.55,84.72,2020
2020-03-08,27.47,3.44,83.41,2020
2020-03-09,28.12,0.74,80.94,2020
2020-03-10,28.27,0.15,82.77,2020
2020-03-11,28.11,0.14,82.69,2020
2020-03-12,27.71,0.2,82.63,2020
2020-03-13,27.97,0.25,81.96,2020
2020-03-14,27.73,0.71,84.85,2020
2020-03-15,28.01,1.62,83.22,2020
2020-03-16,27.62,2.26,83.41,2020
2020-03-17,27.61,0.2,79.05,2020
2020-03-18,27.55,0.8,80.93,2020
2020-03-19,26.97,0.58,79.54,2020
2020-03-20,27.46,2.17,79.23,2020
2020-03-21,27.25,16.9,83.0,2020
2020-03-22,27.74,11.97,83.87,2020
2020-03-23,27.15,16.61,86.09,2020
2020-03-24,27.63,2.81,83.66,2020
2020-03-25,27.89,0.53,80.96,2020
2020-03-26,27.77,1.15,83.79,2020
2020-03-27,28.02,2.29,84.13,2020
2020-03-28,28.03,0.5,82.25,2020
2020-03-29,27.76,0.01,80.03,2020
2020-03-30,28.0,0.06,78.18,2020
2020-03-31,27.95,0.08,77.75,2020
2020-04-01,28.43,0.73,79.31,2020
2020-04-02,28.61,11.49,80.36,2020
2020-04-03,28.26,9.07,82.89,2020
2020-04-04,27.95,7.5,84.52,2020
2020-04-05,28.4,6.19,82.64,2020
2020-04-06,27.96,17.86,83.25,2020
2020-04-07,28.19,10.15,79.69,2020
2020-04-08,28.54,6.89,77.48,2020
2020-04-09,28.05,4.8,82.76,2020
2020-04-10,28.26,0.17,77.93,2020
2020-04-11,28.13,1.92,79.85,2020
2020-04-12,28.25,4.52,82.92,2020
2020-04-13,27.82,6.22,86.55,2020
2020-04-14,27.69,0.6,81.58,2020
2020-04-15,28.02,0.08,79.39,2020
2020-04-16,28.23,0.09,77.02,2020
2020-04-17,28.49,0.05,76.99,2020
2020-04-18,28.45,0.3,78.34,2020
2020-04-19,28.23,0.45,80.25,2020
2020-04-20,28.65,0.9,80.08,2020
2020-04-21,28.36,3.35,83.08,2020
2020-04-22,28.6,5.18,80.6,2020
2020-04-23,28.71,5.32,78.93,2020
2020-04-24,28.11,4.77,81.56,2020
2020-04-25,27.42,7.22,83.75,2020
2020-04-26,27.77,4.3,81.03,2020
2020-04-27,27.57,27.41,83.43,2020
2020-04-28,27.5,9.89,83.32,2020
2020-04-29,27.8,13.37,82.97,2020
2020-04-30,27.66,36.09,86.56,2020
2020-05-01,27.65,18.87,85.94,2020
2020-05-02,27.19,12.65,87.01,2020
2020-05-03,27.68,3.88,84.28,2020
2020-05-04,28.67,4.77,78.51,2020
2020-05-05,28.94,12.29,78.74,2020
2020-05-06,28.89,4.08,80.17,2020
2020-05-07,28.52,5.86,84.2,2020
2020-05-08,28.29,5.26,86.96,2020
2020-05-09,28.48,3.36,84.65,2020
2020-05-10,28.34,4.27,86.56,2020
2020-05-11,28.46,9.34,86.66,2020
2020-05-12,28.37,15.61,87.01,2020
2020-05-13,27.8,10.84,85.2,2020
2020-05-14,28.79,5.05,80.03,2020
2020-05-15,28.83,0.4,79.91,2020
2020-05-16,29.09,3.63,81.97,2020
2020-05-17,29.01,23.58,81.65,2020
2020-05-18,28.72,2.93,81.77,2020
2020-05-19,28.63,3.26,85.46,2020
2020-05-20,28.53,6.29,84.71,2020
2020-05-21,29.93,3.94,74.44,2020
2020-05-22,29.08,11.15,79.82,2020
2020-05-23,28.19,5.65,83.66,2020
2020-05-24,28.69,10.12,81.46,2020
2020-05-25,28.85,3.83,80.84,2020
2020-05-26,29.19,10.93,77.87,2020
2020-05-27,28.61,9.17,79.39,2020
2020-05-28,28.26,2.97,83.11,2020
2020-05-29,28.49,4.86,82.72,2020
2020-05-30,28.4,5.22,81.96,2020
2020-05-31,28.85,7.62,79.1,2020
2020-06-01,27.79,24.79,84.86,2020
2020-06-02,27.89,12.62,82.94,2020
